"patch" "rep" "nut" "loss" "ampl"
"222" 2 1 15 0.501 "0.11997908"
"223" 1 1 15 0.551 "0.36238092"
"224" 2 1 15 0.551 "0.5487646"
"225" 1 1 15 0.601 "6.06223164"
"226" 2 1 15 0.601 "10.87722976"
"227" 1 1 15 0.651 "7.62465916"
"228" 2 1 15 0.651 "19.499492648"
"229" 1 1 15 0.701 "5.65634116"
"230" 2 1 15 0.701 "21.36535362"
"231" 1 1 15 0.751 "3.07262104"
"232" 2 1 15 0.751 "27.689254056"
"233" 1 1 15 0.801 "4.18655008"
"234" 2 1 15 0.801 "53.705077716"
"235" 1 1 15 0.851 "2.335696"
"236" 2 1 15 0.851 "54.321957788"
"237" 1 1 15 0.901 "0.72429764"
"238" 2 1 15 0.901 "48.564762692"
"239" 1 1 15 0.951 "0"
"240" 2 1 15 0.951 "0"
"241" 1 1 14 0.001 "4.81441088"
"242" 2 1 14 0.001 "5.09556764"
"243" 1 1 14 0.051 "2.37582632"
"244" 2 1 14 0.051 "2.56312016"
"245" 1 1 14 0.101 "4.63560636"
"246" 2 1 14 0.101 "5.087713"
"247" 1 1 14 0.151 "5.63128052"
"248" 2 1 14 0.151 "6.27328948"
"249" 1 1 14 0.201 "4.38848696"
"250" 2 1 14 0.201 "4.9449404"
"251" 1 1 14 0.251 "9.11013508"
"252" 2 1 14 0.251 "10.49911216"
"253" 1 1 14 0.301 "10.53237976"
"254" 2 1 14 0.301 "12.41138068"
"255" 1 1 14 0.351 "12.13460776"
"256" 2 1 14 0.351 "14.76235696"
"257" 1 1 14 0.401 "13.315839944"
"258" 2 1 14 0.401 "16.90994504"
"259" 1 1 14 0.451 "14.478882148"
"260" 2 1 14 0.451 "19.662386684"
"261" 1 1 14 0.501 "15.141065384"
"262" 2 1 14 0.501 "22.795541168"
"263" 1 1 14 0.551 "14.479706812"
"264" 2 1 14 0.551 "24.694852468"
"265" 1 1 14 0.601 "12.634698212"
"266" 2 1 14 0.601 "24.585090596"
"267" 1 1 14 0.651 "10.116365412"
"268" 2 1 14 0.651 "23.403088396"
"269" 1 1 14 0.701 "7.10318176"
"270" 2 1 14 0.701 "22.450661208"
"271" 1 1 14 0.751 "1.63072208"
"272" 2 1 14 0.751 "26.059784812"
"273" 1 1 14 0.801 "3.79377716"
"274" 2 1 14 0.801 "48.939937888"
"275" 1 1 14 0.851 "4.4078782"
"276" 2 1 14 0.851 "55.21312406"
"277" 1 1 14 0.901 "0.7835558"
"278" 2 1 14 0.901 "49.324905156"
"279" 1 1 14 0.951 "0"
"280" 2 1 14 0.951 "0"
"281" 1 1 13 0.001 "3.28554496"
"282" 2 1 13 0.001 "3.43073016"
"283" 1 1 13 0.051 "33.0375796714286"
"284" 2 1 13 0.051 "47.6811504857143"
"285" 1 1 13 0.101 "28.1633957681818"
"286" 2 1 13 0.101 "33.8282323409091"
"287" 1 1 13 0.151 "26.973565036"
"288" 2 1 13 0.151 "32.881652248"
"289" 1 1 13 0.201 "25.861980988"
"290" 2 1 13 0.201 "31.96077796"
