"q","b1.min","b1.max","b2.min","b2.max","b3.min","b3.max"
0.01,10.82484,57.191375,1.0394755e-06,11.752992,5.9721698,38.061699
0.011,10.777289,57.187342,2.8645099e-06,11.763421,6.0026254,37.797476
0.011,10.777325,57.187342,2.864485e-06,11.763571,6.00263,37.797493
0.011,10.777469,57.187342,2.8644916e-06,11.763637,6.0026305,37.797495
0.011,10.77773,57.187342,2.8644185e-06,11.763613,6.0026255,37.797478
0.011,10.777557,57.187342,2.8644772e-06,11.763417,6.0026412,37.79738
0.011,10.777318,57.187342,2.8645146e-06,11.763356,6.0026269,37.797461
0.011,10.777283,57.187342,2.864455e-06,11.763548,6.0026254,37.797497
0.011,10.777398,57.187342,2.864435e-06,11.763636,6.0026273,37.797503
0.011,10.777704,57.187342,2.8644612e-06,11.763602,6.0026393,37.797464
0.011,10.777584,57.187342,2.8644995e-06,11.763487,6.0026342,37.797414
0.011,10.777385,57.187342,2.8645491e-06,11.763273,6.0026335,37.797436
0.011,10.777255,57.187342,2.8644538e-06,11.763516,6.0026213,37.797498
0.011,10.777372,57.187342,2.8644617e-06,11.763613,6.00263,37.797497
0.011,10.777561,57.187342,2.864471e-06,11.763642,6.0026284,37.797493
0.011,10.777605,57.187342,2.8644341e-06,11.763562,6.0026234,37.797455
0.011,10.777349,57.187342,2.8643875e-06,11.763382,6.0026189,37.797447
0.011,10.77725,57.187342,2.8644165e-06,11.763463,6.0026196,37.797492
0.011,10.777289,57.187342,2.8645099e-06,11.763421,6.0026254,37.797476
0.011,10.777325,57.187342,2.864485e-06,11.763571,6.00263,37.797493
0.011,10.777469,57.187342,2.8644916e-06,11.763637,6.0026305,37.797495
0.011,10.77773,57.187342,2.8644185e-06,11.763613,6.0026255,37.797478
0.011,10.777557,57.187342,2.8644772e-06,11.763417,6.0026412,37.79738
0.011,10.777318,57.187342,2.8645146e-06,11.763356,6.0026269,37.797461
0.011,10.777283,57.187342,2.864455e-06,11.763548,6.0026254,37.797497
0.011,10.777398,57.187342,2.864435e-06,11.763636,6.0026273,37.797503
0.012,10.729723,57.180955,6.9641804e-06,11.77408,6.0320722,37.53793
0.012,10.730003,57.180955,6.9642381e-06,11.774269,6.0320784,37.537996
0.012,10.729965,57.180955,6.9642533e-06,11.774382,6.0320818,37.538021
0.012,10.729741,57.180955,6.9642334e-06,11.774329,6.0320792,37.537996
0.012,10.729727,57.180955,6.964181e-06,11.774126,6.0320771,37.537932
0.012,10.729935,57.180955,6.9641617e-06,11.774227,6.0320778,37.537985
0.012,10.730031,57.180955,6.9643079e-06,11.774375,6.0320821,37.538022
0.012,10.729883,57.180955,6.964459e-06,11.774301,6.0320997,37.537966
0.012,10.729768,57.180955,6.9643517e-06,11.774158,6.0320876,37.53793
0.012,10.72992,57.180955,6.9641679e-06,11.774144,6.032087,37.53795
0.012,10.730139,57.180955,6.9641489e-06,11.774352,6.0320825,37.538015
0.012,10.729797,57.180955,6.9641319e-06,11.774377,6.0320775,37.538017
0.012,10.729692,57.180955,6.9641457e-06,11.774238,6.0320751,37.53797
0.012,10.729774,57.180955,6.9640927e-06,11.774137,6.0320689,37.537971
0.012,10.730169,57.180955,6.9642005e-06,11.77433,6.0320814,37.538009
0.012,10.729886,57.180955,6.9642199e-06,11.774365,6.0320863,37.538005
0.012,10.729668,57.180955,6.9641436e-06,11.774289,6.0320706,37.537991
0.012,10.729738,57.180955,6.9641198e-06,11.774078,6.0320691,37.537955
0.012,10.729723,57.180955,6.9641804e-06,11.77408,6.0320722,37.53793
0.012,10.730003,57.180955,6.9642381e-06,11.774269,6.0320784,37.537996
0.012,10.729965,57.180955,6.9642533e-06,11.774382,6.0320818,37.538021
0.012,10.729741,57.180955,6.9642334e-06,11.774329,6.0320792,37.537996
0.012,10.729727,57.180955,6.964181e-06,11.774126,6.0320771,37.537932
0.012,10.729935,57.180955,6.9641617e-06,11.774227,6.0320778,37.537985
0.012,10.730031,57.180955,6.9643079e-06,11.774375,6.0320821,37.538022
0.013,10.68204,57.17145,1.5268121e-05,11.785244,6.0605229,37.283036
0.013,10.681608,57.17145,1.5268062e-05,11.785213,6.0605236,37.282978
0.013,10.682084,57.17145,1.526799e-05,11.785257,6.0605234,37.283033
0.013,10.68159,57.17145,1.5267882e-05,11.785202,6.0605201,37.282991
0.013,10.682071,57.17145,1.5267883e-05,11.785294,6.0605148,37.283048
0.013,10.681586,57.17145,1.526791e-05,11.785181,6.0605188,37.283
0.013,10.682052,57.17145,1.5268004e-05,11.785292,6.0605202,37.283035
0.013,10.681598,57.17145,1.5268002e-05,11.785154,6.0605198,37.283004
0.013,10.681981,57.17145,1.5267893e-05,11.785314,6.0605161,37.28304
0.013,10.681664,57.17145,1.52681e-05,11.785102,6.0605305,37.282989
0.013,10.681987,57.17145,1.5268113e-05,11.785301,6.0605244,37.283022
0.013,10.681649,57.17145,1.5268225e-05,11.785088,6.0605262,37.283001
0.013,10.681955,57.17145,1.5268135e-05,11.785306,6.0605253,37.283017
0.013,10.681633,57.17145,1.5268005e-05,11.785073,6.0605216,37.283015
0.013,10.681908,57.17145,1.5268204e-05,11.785316,6.0605237,37.283016
0.013,10.681676,57.17145,1.5268174e-05,11.785032,6.0605272,37.283008
0.013,10.681917,57.17145,1.52683e-05,11.785301,6.0605312,37.282998
0.013,10.681662,57.17145,1.5268054e-05,11.785017,6.0605223,37.283021
0.013,10.681822,57.17145,1.5267963e-05,11.785332,6.0605205,37.283014
0.013,10.68204,57.17145,1.5268121e-05,11.785244,6.0605229,37.283036
0.013,10.681608,57.17145,1.5268062e-05,11.785213,6.0605236,37.282978
0.013,10.682084,57.17145,1.526799e-05,11.785257,6.0605234,37.283033
0.013,10.68159,57.17145,1.5267882e-05,11.785202,6.0605201,37.282991
0.013,10.682071,57.17145,1.5267883e-05,11.785294,6.0605148,37.283048
